identifier,type,id,operator,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,evse_id,socket:chademo,socket:chademo:kw,socket:tesla_destination,socket:tesla_destination:kw,socket:type2,socket:type2:kw,socket:type2_cable,socket:type2_cable:kw,socket:type2_combo,socket:type2_combo:kw
TVD-00015…18/36,way,way/1365382855,Galp Power,5,0.0,yes,,24/7,Mobi.E,6,354.0,no,1,100.0,254.0,,2,50.0,,,2,22.0,,,2,160.0
TVD-00015…18/36 / TVD-00036,child_point,child/node/8224601893,Galp Power,1,50.0,yes,no,24/7,Mobi.E,2,100.0,no,1,50.0,50.0,PT*GLP*ETVD*00036*01;PT*GLP*ETVD*00036*02,1,50.0,,,,,,,1,50.0
TVD-00015…18/36 / TVD-00016,child_point,child/node/8224601894,Mobiletric,1,0.0,yes,no,24/7,Mobi.E,2,210.0,no,1,50.0,160.0,PT*MLT*ETVD*00016*01;PT*MLT*ETVD*00016*02,1,50.0,,,,,,,1,160.0
TVD-00015…18/36 / TVD-00017,child_point,child/node/8409893493,Mobiletric,1,0.0,yes,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,PT*MLT*E*TVD*00017*1,,,,,1,22.0,,,,
TVD-00015…18/36 / TVD-00018,child_point,child/node/12644016557,Mobiletric,1,0.0,yes,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,PT*MLT*ETVD*00018*01,,,,,1,22.0,,,,
VBP-00013…16,way,way/1365563937,Galp Power,7,0.0,customers,,24/7,Mobi.E,7,154.0,no,0,0.0,154.0,,,,,,7,22.0,,,,
VBP-00013…16 / VBP-00016,child_point,child/node/10707757252,Galp Power,1,0.0,customers,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,PT*GLP*EVBP*00016*01,,,,,1,22.0,,,,
VBP-00013…16 / VBP-00013,child_point,child/node/12645742119,Galp Power,2,0.0,customers,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*EVBP*00013*01;PT*GLP*EVBP*00013*02,,,,,2,22.0,,,,
VBP-00013…16 / VBP-00014,child_point,child/node/12645742120,Galp Power,2,0.0,customers,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*EVBP*00014*01;PT*GLP*EVBP*00014*02,,,,,2,22.0,,,,
VBP-00013…16 / VBP-00015,child_point,child/node/12645742121,Galp Power,2,0.0,customers,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*EVBP*00015*01;PT*GLP*EVBP*00015*02,,,,,2,22.0,,,,
BRR-00008…11/138…141,way,way/1365565407,Maksu Services,8,0.0,yes,,24/7,Mobi.E,8,176.0,no,0,0.0,176.0,,,,,,8,22.0,,,,
BRR-00008…11/138…141 / BRR-00008,child_point,child/node/9432160640,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,PT*MAK*E*BRR*00008*1,,,,,1,22.0,,,,
BRR-00008…11/138…141 / BRR-00141,child_point,child/node/12645697382,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,PT*MAK*E*BRR*00141*01,,,,,1,22.0,,,,
BRR-00008…11/138…141 / BRR-00140,child_point,child/node/12645697383,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,PT*MAK*E*BRR*00140*01,,,,,1,22.0,,,,
BRR-00008…11/138…141 / BRR-00139,child_point,child/node/12645697384,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,PT*MAK*E*BRR*00139*01,,,,,1,22.0,,,,
BRR-00008…11/138…141 / BRR-00138,child_point,child/node/12645697385,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,PT*MAK*E*BRR*00138*01,,,,,1,22.0,,,,
BRR-00008…11/138…141 / BRR-00011,child_point,child/node/12645697386,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,PT*MAK*E*BRR*00011*1,,,,,1,22.0,,,,
BRR-00008…11/138…141 / BRR-00010,child_point,child/node/12645697387,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,PT*MAK*E*BRR*00010*1,,,,,1,22.0,,,,
BRR-00008…11/138…141 / BRR-00009,child_point,child/node/12645697388,Maksu Services,1,0.0,yes,no,24/7,Mobi.E,1,22.0,no,0,0.0,22.0,PT*MAK*E*BRR*00009*1,,,,,1,22.0,,,,
Continente Modelo Alto do Lumiar,way,way/1365566957,Continente,7,0.0,yes,,09:00-21:00,Continente Plug&Charge,8,232.0,no,1,50.0,182.0,,1,50.0,,,6,22.0,,,1,50.0
Continente Modelo Alto do Lumiar / Continente Modelo Alto do Lumiar,child_point,child/node/8308990760,Continente,1,0.0,yes,no,09:00-21:00,Continente Plug&Charge,2,100.0,no,1,50.0,50.0,,1,50.0,,,,,,,1,50.0
Continente Modelo Alto do Lumiar / Continente Modelo Alto do Lumiar,child_point,child/node/12645780457,Continente,2,0.0,yes,no,09:00-21:00,Continente Plug&Charge,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
Continente Modelo Alto do Lumiar / Continente Modelo Alto do Lumiar,child_point,child/node/12645780458,Continente,2,0.0,yes,no,09:00-21:00,Continente Plug&Charge,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
Continente Modelo Alto do Lumiar / Continente Modelo Alto do Lumiar,child_point,child/node/12645780462,Continente,2,0.0,yes,no,09:00-21:00,Continente Plug&Charge,2,44.0,no,0,0.0,44.0,,,,,,2,22.0,,,,
CBR-00043…50,way,way/1365568505,Mota Engil II,8,0.0,yes,,08:45-24:00,Mobi.E,10,216.0,no,2,75.0,141.0,,2,50.0,,,6,11.0,,,2,50.0
CBR-00043…50 / CBR-00043,child_point,child/node/9338579593,Mota Engil II,1,50.0,yes,no,08:45-24:00,Mobi.E,2,100.0,no,1,50.0,50.0,PT*MOT*E*CBR*00043*01;PT*MOT*E*CBR*00043*02,1,50.0,,,,,,,1,50.0
CBR-00043…50 / CBR-00047,child_point,child/node/9338579594,Mota Engil II,1,0.0,yes,no,08:45-24:00,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*CBR*00047*1,,,,,1,11.0,,,,
CBR-00043…50 / CBR-00050,child_point,child/node/12645779370,Mota Engil II,1,0.0,yes,no,08:45-24:00,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*CBR*00050*1,,,,,1,11.0,,,,
CBR-00043…50 / CBR-00049,child_point,child/node/12645779371,Mota Engil II,1,0.0,yes,no,08:45-24:00,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*CBR*00049*1,,,,,1,11.0,,,,
CBR-00043…50 / CBR-00048,child_point,child/node/12645779372,Mota Engil II,1,0.0,yes,no,08:45-24:00,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*CBR*00048*1,,,,,1,11.0,,,,
CBR-00043…50 / CBR-00046,child_point,child/node/12645779373,Mota Engil II,1,0.0,yes,no,08:45-24:00,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*CBR*00046*1,,,,,1,11.0,,,,
CBR-00043…50 / CBR-00045,child_point,child/node/12645779374,Mota Engil II,1,0.0,yes,no,08:45-24:00,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*CBR*00045*1,,,,,1,11.0,,,,
CBR-00043…50 / CBR-00044,child_point,child/node/12645779375,Mota Engil II,1,0.0,yes,no,08:45-24:00,Mobi.E,2,50.0,no,1,25.0,25.0,PT*MOT*E*CBR*00044*01;PT*MOT*E*CBR*00044*02,1,25.0,,,,,,,1,25.0
LLE-00107…113,way,way/1365572519,Galp Power,14,0.0,yes,,08:00-23:00,Mobi.E,14,296.4,no,0,0.0,296.4,,,,,,12,22.0,,,2,60.0
LLE-00107…113 / LLE-00111,child_point,child/node/10179014017,Galp Power,2,0.0,yes,no,08:00-23:00,Mobi.E,2,14.8,no,0,0.0,14.8,PT*GLP*ELLE*00111*01;PT*GLP*ELLE*00111*02,,,,,2,7.4,,,,
LLE-00107…113 / LLE-00108,child_point,child/node/10179014018,Galp Power,2,0.0,yes,no,08:00-23:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*ELLE*00108*01;PT*GLP*ELLE*00108*02,,,,,2,22.0,,,,
LLE-00107…113 / LLE-00107,child_point,child/node/12006341710,Galp Power,2,60.0,yes,no,08:00-23:00,Mobi.E,2,120.0,no,0,0.0,60.0,PT*GLP*ELLE*00107*01;PT*GLP*ELLE*00107*02,,,,,,,,,2,60.0
LLE-00107…113 / LLE-00113,child_point,child/node/12645833806,Galp Power,2,0.0,yes,no,08:00-23:00,Mobi.E,2,14.8,no,0,0.0,14.8,PT*GLP*ELLE*00113*01;PT*GLP*ELLE*00113*02,,,,,2,7.4,,,,
LLE-00107…113 / LLE-00112,child_point,child/node/12645833807,Galp Power,2,0.0,yes,no,08:00-23:00,Mobi.E,2,14.8,no,0,0.0,14.8,PT*GLP*ELLE*00112*01;PT*GLP*ELLE*00112*02,,,,,2,7.4,,,,
LLE-00107…113 / LLE-00110,child_point,child/node/12645833808,Galp Power,2,0.0,yes,no,08:00-23:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*ELLE*00110*01;PT*GLP*ELLE*00110*02,,,,,2,22.0,,,,
LLE-00107…113 / LLE-00109,child_point,child/node/12645833809,Galp Power,2,0.0,yes,no,08:00-23:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*GLP*ELLE*00109*01;PT*GLP*ELLE*00109*02,,,,,2,22.0,,,,
ABF-00053,way,way/1365574769,CapWatt,6,0.0,yes,,08:00-24:00,Mobi.E,6,132.0,no,0,0.0,132.0,,,,,,6,22.0,,,,
ABF-00053 / ABF-00053,child_point,child/node/10075901097,CapWatt,2,0.0,yes,no,08:00-24:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*CAP*E*ABF*00053*03;PT*CAP*E*ABF*00053*04,,,,,2,22.0,,,,
ABF-00053 / ABF-00053,child_point,child/node/12645815690,CapWatt,2,0.0,yes,no,08:00-24:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*CAP*E*ABF*00053*01;PT*CAP*E*ABF*00053*02,,,,,2,22.0,,,,
ABF-00053 / ABF-00053,child_point,child/node/12645815691,CapWatt,2,0.0,yes,no,08:00-24:00,Mobi.E,2,44.0,no,0,0.0,44.0,PT*CAP*E*ABF*00053*05;PT*CAP*E*ABF*00053*06,,,,,2,22.0,,,,
FAR-00028/33,way,way/1365576149,Powerdot,6,0.0,yes,,24/7,Mobi.E,6,334.0,no,0,0.0,334.0,,1,50.0,,,2,22.0,,,3,80.0
FAR-00028/33 / FAR-00033,child_point,child/node/9906479234,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,130.0,no,0,0.0,130.0,PT*HRZ*E*FAR*00033*01;PT*HRZ*E*FAR*00033*02,1,50.0,,,,,,,1,80.0
FAR-00028/33 / FAR-00033,child_point,child/node/12645861741,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,160.0,no,0,0.0,160.0,PT*HRZ*E*FAR*00033*03;PT*HRZ*E*FAR*00033*04,,,,,,,,,2,80.0
FAR-00028/33 / FAR-00028,child_point,child/node/12645861742,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*FAR*00028*01;PT*HRZ*E*FAR*00028*02,,,,,2,22.0,,,,
STC-00009,way,way/1365578285,Powerdot,6,0.0,yes,,24/7,Mobi.E,6,530.0,no,0,0.0,530.0,,1,50.0,,,,,,,5,120.0
STC-00009 / STC-00009,child_point,child/node/10874108523,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,240.0,no,0,0.0,240.0,PT*HRZ*E*STC*00009*03;PT*HRZ*E*STC*00009*04,,,,,,,,,2,120.0
STC-00009 / STC-00009,child_point,child/node/12645857356,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,160.0,no,0,0.0,160.0,PT*HRZ*E*STC*00009*05;PT*HRZ*E*STC*00009*06,,,,,,,,,2,80.0
STC-00009 / STC-00009,child_point,child/node/12645857357,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,130.0,no,0,0.0,130.0,PT*HRZ*E*STC*00009*01;PT*HRZ*E*STC*00009*02,1,50.0,,,,,,,1,80.0
GDL-?????,way,way/1365580840,Charging Together,8,0.0,yes,,24/7,Mobi.E,0,0.0,yes,-8,0.0,0.0,,,,,,,,,,,
GDL-????? / GDL-?????,child_point,child/node/11964226629,Charging Together,2,400.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,400.0,,,,,,,,,,,
GDL-????? / GDL-?????,child_point,child/node/12645911011,Charging Together,2,400.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,400.0,,,,,,,,,,,
GDL-????? / GDL-?????,child_point,child/node/12645911012,Charging Together,2,400.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,400.0,,,,,,,,,,,
GDL-????? / GDL-?????,child_point,child/node/12645911013,Charging Together,2,400.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,400.0,,,,,,,,,,,
GDL-00040…43,way,way/1365580841,Charging Together,8,1600.0,yes,,24/7,Mobi.E,8,2400.0,no,0,0.0,1600.0,,,,,,,,,,8,400.0
GDL-00040…43 / GDL-00043,child_point,child/node/11964226630,Charging Together,2,400.0,yes,yes,24/7,Mobi.E,2,400.0,no,0,0.0,400.0,PT*FCT*E*GDL*00043*01;PT*FCT*E*GDL*00043*02,,,,,,,,,2,200.0
GDL-00040…43 / GDL-00040,child_point,child/node/12645911018,Charging Together,2,400.0,yes,yes,24/7,Mobi.E,2,800.0,no,0,0.0,400.0,PT*FCT*E*GDL*00040*01;PT*FCT*E*GDL*00040*02,,,,,,,,,2,400.0
GDL-00040…43 / GDL-00041,child_point,child/node/12645911019,Charging Together,2,400.0,yes,yes,24/7,Mobi.E,2,800.0,no,0,0.0,400.0,PT*FCT*E*GDL*00041*01;PT*FCT*E*GDL*00041*02,,,,,,,,,2,400.0
GDL-00040…43 / GDL-00042,child_point,child/node/12645911020,Charging Together,2,400.0,yes,yes,24/7,Mobi.E,2,400.0,no,0,0.0,400.0,PT*FCT*E*GDL*00042*01;PT*FCT*E*GDL*00042*02,,,,,,,,,2,200.0
EVR-00046/47,way,way/1365701096,Powerdot,6,211.0,yes,,24/7,Mobi.E,7,741.0,no,1,0.0,211.0,,1,50.0,,,1,11.0,,,5,150.0
EVR-00046/47 / EVR-00047,child_point,child/node/11892126462,Powerdot,2,0.0,yes,yes,24/7,Mobi.E,2,130.0,no,0,0.0,130.0,PT*HRZ*E*EVR*00047*05;PT*HRZ*E*EVR*00047*06,1,50.0,,,,,,,1,80.0
EVR-00046/47 / EVR-00047,child_point,child/node/12647245395,Powerdot,2,0.0,yes,yes,24/7,Mobi.E,2,300.0,no,0,0.0,300.0,PT*HRZ*E*EVR*00047*03;PT*HRZ*E*EVR*00047*04,,,,,,,,,2,150.0
EVR-00046/47 / EVR-00047,child_point,child/node/12647245396,Powerdot,2,0.0,yes,yes,24/7,Mobi.E,2,300.0,no,0,0.0,300.0,PT*HRZ*E*EVR*00047*03;PT*HRZ*E*EVR*00047*04,,,,,,,,,2,150.0
EVR-00046/47 / EVR-00046,child_point,child/node/12647245397,Powerdot,1,0.0,yes,yes,24/7,Mobi.E,1,11.0,no,0,0.0,11.0,PT*HRZ*E*EVR*00046*01,,,,,1,11.0,,,,
EVR-00049/50,way,way/1365703567,Powerdot,6,211.0,yes,,24/7,Mobi.E,7,601.0,no,1,0.0,211.0,,1,50.0,,,1,11.0,,,5,150.0
EVR-00049/50 / EVR-00049,child_point,child/node/12219491582,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,130.0,no,0,0.0,130.0,PT*HRZ*E*EVR*00049*01;PT*HRZ*E*EVR*00049*02,1,50.0,,,,,,,1,80.0
EVR-00049/50 / EVR-00049,child_point,child/node/12647279960,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,300.0,no,0,0.0,300.0,PT*HRZ*E*EVR*00049*05;PT*HRZ*E*EVR*00049*06,,,,,,,,,2,150.0
EVR-00049/50 / EVR-00049,child_point,child/node/12647279961,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,160.0,no,0,0.0,160.0,PT*HRZ*E*EVR*00049*03;PT*HRZ*E*EVR*00049*04,,,,,,,,,2,80.0
EVR-00049/50 / EVR-00050,child_point,child/node/12647279962,Powerdot,1,0.0,yes,no,24/7,Mobi.E,1,11.0,no,0,0.0,11.0,PT*HRZ*E*EVR*00050*01,,,,,1,11.0,,,,
MNC-00012,way,way/1365706674,Powerdot,4,0.0,yes,,24/7,Mobi.E,5,372.0,no,1,22.0,350.0,,1,50.0,,,1,22.0,,,3,100.0
MNC-00012 / MNC-00012,child_point,child/node/12427716910,Powerdot,2,0.0,yes,no,24/7,Mobi.E,3,172.0,no,1,22.0,150.0,PT*HRZ*E*MNC*00012*01;PT*HRZ*E*MNC*00012*02;PT*HRZ*E*MNC*00012*03,1,50.0,,,1,22.0,,,1,100.0
MNC-00012 / MNC-00012,child_point,child/node/12647324374,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,200.0,no,0,0.0,200.0,PT*HRZ*E*MNC*00012*04;PT*HRZ*E*MNC*00012*05,,,,,,,,,2,100.0
MTJ-00006…9/24/25/37,way,way/1365993797,Mota Engil II,8,0.0,yes,,24/7,Mobi.E,11,305.0,no,3,0.0,305.0,,1,25.0,,,6,22.0,,,4,60.0
MTJ-00006…9/24/25/37 / MTJ-00037,child_point,child/node/8207349263,Mota Engil II,2,0.0,yes,no,24/7,Mobi.E,2,120.0,no,0,0.0,120.0,PT*MOT*E*MTJ*00037*01;PT*MOT*E*MTJ*00037*02,,,,,,,,,2,60.0
MTJ-00006…9/24/25/37 / MTJ-00009,child_point,child/node/8283998952,Mota Engil II,1,0.0,yes,no,24/7,Mobi.E,1,25.0,no,0,0.0,25.0,PT*MOT*E*MTJ*00009*1,,,,,,,,,1,25.0
MTJ-00006…9/24/25/37 / MTJ-00025,child_point,child/node/9928062404,Mota Engil II,1,0.0,yes,no,24/7,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*MTJ*00025*1,,,,,1,11.0,,,,
MTJ-00006…9/24/25/37 / MTJ-00007,child_point,child/node/12650039403,Mota Engil II,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*MOT*E*MTJ*00007*01;PT*MOT*E*MTJ*00007*02,,,,,2,22.0,,,,
MTJ-00006…9/24/25/37 / MTJ-00006,child_point,child/node/12650039404,Mota Engil II,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*MOT*E*MTJ*00006*01;PT*MOT*E*MTJ*00006*02,,,,,2,22.0,,,,
MTJ-00006…9/24/25/37 / MTJ-00008,child_point,child/node/12650039405,Mota Engil II,2,0.0,yes,no,24/7,Mobi.E,2,50.0,no,0,0.0,50.0,PT*MOT*E*MTJ*00008*01;PT*MOT*E*MTJ*00008*02,1,25.0,,,,,,,1,25.0
MTJ-00006…9/24/25/37 / MTJ-00024,child_point,child/node/12650039406,Mota Engil II,1,0.0,yes,no,24/7,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*MTJ*00024*1,,,,,1,11.0,,,,
SNT-00117,way,way/1366005090,Powerdot,6,0.0,yes,,24/7,Mobi.E,6,490.0,no,0,0.0,490.0,,1,50.0,,,,,,,5,100.0
SNT-00117 / SNT-00117,child_point,child/node/11634211673,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,160.0,no,0,0.0,160.0,PT*HRZ*E*SNT*00117*03;PT*HRZ*E*SNT*00117*04,,,,,,,,,2,80.0
SNT-00117 / SNT-00117,child_point,child/node/12650119283,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,130.0,no,0,0.0,130.0,PT*HRZ*E*SNT*00117*05;PT*HRZ*E*SNT*00117*06,1,50.0,,,,,,,1,80.0
SNT-00117 / SNT-00117,child_point,child/node/12650119284,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,200.0,no,0,0.0,200.0,PT*HRZ*E*SNT*00117*01;PT*HRZ*E*SNT*00117*02,,,,,,,,,2,100.0
PLM-00042…46,way,way/1366054826,InstaVolt,5,800.0,yes,,24/7,Mobi.E,10,1050.0,no,5,250.0,800.0,,5,50.0,,,,,,,5,160.0
PLM-00042…46 / PLM-00042,child_point,child/node/12175855265,InstaVolt,1,0.0,yes,yes,24/7,Mobi.E,2,210.0,no,1,50.0,160.0,PT*ITV*E*PLM*00042*01;PT*ITV*E*PLM*00042*02,1,50.0,,,,,,,1,160.0
PLM-00042…46 / PLM-00046,child_point,child/node/12489856204,InstaVolt,1,0.0,yes,yes,24/7,Mobi.E,2,210.0,no,1,50.0,160.0,PT*ITV*E*PLM*00046*01;PT*ITV*E*PLM*00046*02,1,50.0,,,,,,,1,160.0
PLM-00042…46 / PLM-00045,child_point,child/node/12489856205,InstaVolt,1,0.0,yes,yes,24/7,Mobi.E,2,210.0,no,1,50.0,160.0,PT*ITV*E*PLM*00045*01;PT*ITV*E*PLM*00045*02,1,50.0,,,,,,,1,160.0
PLM-00042…46 / PLM-00044,child_point,child/node/12489856206,InstaVolt,1,0.0,yes,yes,24/7,Mobi.E,2,210.0,no,1,50.0,160.0,PT*ITV*E*PLM*00044*01;PT*ITV*E*PLM*00044*02,1,50.0,,,,,,,1,160.0
PLM-00042…46 / PLM-00043,child_point,child/node/12489856207,InstaVolt,1,0.0,yes,yes,24/7,Mobi.E,2,210.0,no,1,50.0,160.0,PT*ITV*E*PLM*00043*01;PT*ITV*E*PLM*00043*02,1,50.0,,,,,,,1,160.0
STB-00070/71/81,way,way/1366060621,Powerdot,6,382.0,yes,,24/7,Mobi.E,6,684.0,no,0,0.0,382.0,,,,,,2,22.0,,,4,160.0
STB-00070/71/81 / STB-00070,child_point,child/node/11728396726,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,320.0,no,0,0.0,320.0,PT*HRZ*E*STB*00070*01;PT*HRZ*E*STB*00070*02,,,,,,,,,2,160.0
STB-00070/71/81 / STB-00081,child_point,child/node/12650638563,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,320.0,no,0,0.0,320.0,PT*HRZ*E*STB*00081*01;PT*HRZ*E*STB*00081*02,,,,,,,,,2,160.0
STB-00070/71/81 / STB-00071,child_point,child/node/12650638564,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*STB*00071*01;PT*HRZ*E*STB*00071*02,,,,,2,22.0,,,,
SXL-00060/61/62,way,way/1366065703,Galp Power,6,600.0,yes,,24/7,Mobi.E,0,0.0,yes,-6,0.0,600.0,,,,,,,,,,,
SXL-00060/61/62 / SXL-00060,child_point,child/node/12200052180,Galp Power,2,200.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,200.0,PT*GLP*ESXL*00060*01;PT*GLP*ESXL*00060*02,,,,,,,,,,
SXL-00060/61/62 / SXL-00062,child_point,child/node/12650679874,Galp Power,2,200.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,200.0,PT*GLP*ESXL*00062*01;PT*GLP*ESXL*00062*02,,,,,,,,,,
SXL-00060/61/62 / SXL-00061,child_point,child/node/12650679875,Galp Power,2,200.0,yes,no,24/7,Mobi.E,0,0.0,yes,-2,0.0,200.0,PT*GLP*ESXL*00061*01;PT*GLP*ESXL*00061*02,,,,,,,,,,
BRR-00012…14,way,way/1366066673,Helexia II,6,0.0,yes,,24/7,Mobi.E,6,132.0,no,0,0.0,132.0,,,,,,6,22.0,,,,
BRR-00012…14 / BRR-00012,child_point,child/node/9281258490,Helexia II,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HLX*E*BRR*00012*01;PT*HLX*E*BRR*00012*02,,,,,2,22.0,,,,
BRR-00012…14 / BRR-00014,child_point,child/node/12650654450,Helexia II,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HLX*E*BRR*00014*01;PT*HLX*E*BRR*00014*02,,,,,2,22.0,,,,
BRR-00012…14 / BRR-00013,child_point,child/node/12650654451,Helexia II,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HLX*E*BRR*00013*01;PT*HLX*E*BRR*00013*02,,,,,2,22.0,,,,
ALM-00036/37,way,way/1366070080,Mota Engil II,4,0.0,yes,,24/7,Mobi.E,4,88.0,no,0,0.0,88.0,,,,,,4,22.0,,,,
ALM-00036/37 / ALM-00036,child_point,child/node/7778278750,Mota Engil II,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*MOT*E*ALM*00036*01;PT*MOT*E*ALM*00036*02,,,,,2,22.0,,,,
ALM-00036/37 / ALM-00037,child_point,child/node/12650699383,Mota Engil II,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*MOT*E*ALM*00037*01;PT*MOT*E*ALM*00037*02,,,,,2,22.0,,,,
ALM-00070,way,way/1366070081,Mota Engil II,4,200.0,yes,,08:00-24:00,Mobi.E,4,800.0,no,0,0.0,200.0,,,,,,,,,,4,200.0
ALM-00070 / ALM-00070,child_point,child/node/11047843447,Mota Engil II,2,0.0,yes,no,08:00-24:00,Mobi.E,2,400.0,no,0,0.0,400.0,PT*MOT*E*ALM*00070*01;PT*MOT*E*ALM*00070*02,,,,,,,,,2,200.0
ALM-00070 / ALM-00070,child_point,child/node/12650699384,Mota Engil II,1,0.0,yes,no,08:00-24:00,Mobi.E,1,200.0,no,0,0.0,200.0,PT*MOT*E*ALM*00070*03,,,,,,,,,1,200.0
ALM-00070 / ALM-00070,child_point,child/node/12650699385,Mota Engil II,1,0.0,yes,no,08:00-24:00,Mobi.E,1,200.0,no,0,0.0,200.0,PT*MOT*E*ALM*00070*04,,,,,,,,,1,200.0
ALM-00064…69,way,way/1366070082,Mota Engil II,6,0.0,yes,,08:00-24:00,Mobi.E,6,66.0,no,0,0.0,66.0,,,,,,6,11.0,,,,
ALM-00064…69 / ALM-00064,child_point,child/node/11196096114,Mota Engil II,1,0.0,yes,no,08:00-24:00,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*ALM*00064*1,,,,,1,11.0,,,,
ALM-00064…69 / ALM-00069,child_point,child/node/12650699386,Mota Engil II,1,0.0,yes,no,08:00-24:00,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*ALM*00069*1,,,,,1,11.0,,,,
ALM-00064…69 / ALM-00068,child_point,child/node/12650699387,Mota Engil II,1,0.0,yes,no,08:00-24:00,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*ALM*00068*1,,,,,1,11.0,,,,
ALM-00064…69 / ALM-00067,child_point,child/node/12650699388,Mota Engil II,1,0.0,yes,no,08:00-24:00,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*ALM*00067*1,,,,,1,11.0,,,,
ALM-00064…69 / ALM-00066,child_point,child/node/12650699389,Mota Engil II,1,0.0,yes,no,08:00-24:00,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*ALM*00066*1,,,,,1,11.0,,,,
ALM-00064…69 / ALM-00065,child_point,child/node/12650699390,Mota Engil II,1,0.0,yes,no,08:00-24:00,Mobi.E,1,11.0,no,0,0.0,11.0,PT*MOT*E*ALM*00065*1,,,,,1,11.0,,,,
