identifier,type,id,operator,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,evse_id,socket:chademo,socket:chademo:kw,socket:tesla_destination,socket:tesla_destination:kw,socket:type2,socket:type2:kw,socket:type2_cable,socket:type2_cable:kw,socket:type2_combo,socket:type2_combo:kw
ALB-00004,unassigned_point,node/8440774859,Powerdot,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*HRZ*E*ALB*00004*01;PT*HRZ*E*ALB*00004*02;PT*HRZ*E*ALB*00004*03,1,50.0,,,,,1,43.0,1,50.0
BRG-00151,unassigned_point,node/8440779645,Prio.E,2,0.0,yes,no,24/7,Mobi.E,2,180.0,no,0,0.0,180.0,PT*PRI*E*BRG*00151*01;PT*PRI*E*BRG*00151*02,,,,,,,,,2,90.0
GVA-00001,unassigned_point,node/8440850794,Atlante,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*ATL*EGVA*80001*1;PT*ATL*EGVA*80001*2,,,,,2,22.0,,,,
GMR-00018,unassigned_point,node/8440874218,Powerdot,1,50.0,yes,no,24/7,Mobi.E,3,143.0,yes,2,93.0,50.0,PT*HRZ*E*GMR*00018*01;PT*HRZ*E*GMR*00018*02;PT*HRZ*E*GMR*00018*03,1,50.0,,,,,1,43.0,1,50.0
RMZ-80002,unassigned_point,node/8440971144,Atlante,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*ATL*E*RMZ*80002*01;PT*ATL*E*RMZ*80002*02,,,,,2,22.0,,,,
VFX-00017,unassigned_point,node/8440984274,Mobiletric,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*MLT*EVFX*00017*01;PT*MLT*EVFX*00017*02;PT*MLT*EVFX*00017*03,1,50.0,,,,,1,43.0,1,50.0
STR-00017,unassigned_point,node/8441011622,Powerdot,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*HRZ*E*STR*00017*01;PT*HRZ*E*STR*00017*02;PT*HRZ*E*STR*00017*03,1,50.0,,,,,1,43.0,1,50.0
VNG-00060,unassigned_point,node/8441054521,Powerdot,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*HRZ*E*VNG*00060*01;PT*HRZ*E*VNG*00060*02;PT*HRZ*E*VNG*00060*03,1,50.0,,,,,1,43.0,1,50.0
MCN-00002,unassigned_point,node/8445274829,Powerdot,2,93.0,yes,no,24/7,Mobi.E,3,143.0,yes,1,43.0,93.0,PT*HRZ*E*MCN*00002*01;PT*HRZ*E*MCN*00002*02;PT*HRZ*E*MCN*00002*03,1,50.0,,,,,1,43.0,1,50.0
MTR-00009,unassigned_point,node/8449811872,Alfa Energia,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,PT*ALF*E*MTR*00009*01;PT*ALF*E*MTR*00009*02,,,,,2,22.0,,,,
RGR-00003,unassigned_point,node/8450809792,SEGMA,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*SEG*E*RGR*00003*01;PT*SEG*E*RGR*00003*02,,,,,2,22.0,,,,
MOBI-AMD-00123,unassigned_point,node/8460996459,Galp Power,2,0.0,private,no,24/7,Mobi.E,2,240.0,no,0,0.0,240.0,PT*GLP*E*MOBI*AMD*00123*01;PT*GLP*E*MOBI*AMD*00123*02,,,,,,,,,2,120.0
LRA-00018,unassigned_point,node/8461905041,Iberdrola,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*IBD*E*LRA*00018*01;PT*IBD*E*LRA*00018*02;PT*IBD*E*LRA*00018*03,1,50.0,,,,,1,43.0,1,50.0
MLD-90002,unassigned_point,node/8464703819,EDP,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*EDP*EMLD*90002*1;PT*EDP*EMLD*90002*2,,,,,2,22.0,,,,
FAF-00010,unassigned_point,node/8477321982,Atlante,2,0.0,yes,no,24/7,Mobi.E,3,132.0,no,1,22.0,110.0,PT*ATL*EFAF*00010*1;PT*ATL*EFAF*00010*2;PT*ATL*EFAF*00010*3,1,50.0,,,1,22.0,,,1,60.0
LOU-00005,unassigned_point,node/8477405036,Atlante,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*ATL*ELOU*00005*1;PT*ATL*ELOU*00005*2;PT*ATL*ELOU*00005*3,1,50.0,,,,,1,43.0,1,50.0
STS-00022,unassigned_point,node/8477416496,Atlante,2,0.0,yes,no,24/7,Mobi.E,3,132.0,no,1,22.0,110.0,PT*ATL*ESTS*00022*1;PT*ATL*ESTS*00022*2;PT*ATL*ESTS*00022*3,1,50.0,,,,,1,22.0,1,60.0
TRF-00015,unassigned_point,node/8477424831,Atlante,2,0.0,yes,no,24/7,Mobi.E,3,122.0,no,1,22.0,100.0,PT*ATL*ETRF*00015*1;PT*ATL*ETRF*00015*2;PT*ATL*ETRF*00015*3,1,50.0,,,1,22.0,,,1,50.0
STR-00013,unassigned_point,node/8479809332,Atlante,2,0.0,private,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*ATL*E*STR*00013*01;PT*ATL*E*STR*00013*02,,,,,2,22.0,,,,
OBR-00002,unassigned_point,node/8486651154,Powerdot,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,PT*HRZ*E*OBR*00002*01;PT*HRZ*E*OBR*00002*02;PT*HRZ*E*OBR*00002*03,1,50.0,,,,,1,43.0,1,50.0
AMR-00004,unassigned_point,node/8486684186,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*AMR*00004*01;PT*HRZ*E*AMR*00004*02,,,,,2,22.0,,,,
MAI-00017,unassigned_point,node/8486695718,Powerdot,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*HRZ*E*MAI*00017*01;PT*HRZ*E*MAI*00017*02;PT*HRZ*E*MAI*00017*03,1,50.0,,,,,1,43.0,1,50.0
LSB-00318,unassigned_point,node/8486698216,Repsol,2,0.0,yes,no,24/7,Mobi.E,3,122.0,no,1,22.0,100.0,PT*REP*E*LSB*00318*01;PT*REP*E*LSB*00318*02;PT*REP*E*LSB*00318*03,1,50.0,,,,,1,22.0,1,50.0
MFR-00015,unassigned_point,node/8486714660,Powerdot,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*HRZ*E*MFR*00015*01;PT*HRZ*E*MFR*00015*02;PT*HRZ*E*MFR*00015*03,1,50.0,,,,,1,43.0,1,50.0
OER-00063,unassigned_point,node/8486759711,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,14.8,no,0,0.0,14.8,PT*HRZ*E*OER*00063*01;PT*HRZ*E*OER*00063*02,,,,,2,7.4,,,,
SCD-00002,unassigned_point,node/8486791114,Powerdot,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,PT*HRZ*E*SCD*00002*01;PT*HRZ*E*SCD*00002*02,,,,,2,22.0,,,,
VNF-00018,unassigned_point,node/8486809707,CEVE,2,93.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,93.0,PT*CEV*E*VNF*00018*01;PT*CEV*E*VNF*00018*02;PT*CEV*E*VNF*00018*03,1,50.0,,,,,1,43.0,1,50.0
VVD-00014,unassigned_point,node/8490022617,Atlante,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*ATL*EVVD*00014*1;PT*ATL*EVVD*00014*2;PT*ATL*EVVD*00014*3,1,50.0,,,,,1,43.0,1,50.0
LSD-00002,unassigned_point,node/8497383440,Galp Geste,2,0.0,yes,no,24/7,Mobi.E,3,143.0,no,1,43.0,100.0,PT*GLG*ELSD*00002*01;PT*GLG*ELSD*00002*02;PT*GLG*ELSD*00002*03,1,50.0,,,,,1,43.0,1,50.0
Real Marina Hotel & Spa Tesla Destination Charger,unassigned_point,node/8497568095,Tesla,2,0.0,customers,,24/7,Tesla,2,44.0,no,0,0.0,44.0,,,,1,22.0,,,1,22.0,,
Hotel Segredos de Vale Manso Tesla Destination Charger,unassigned_point,node/8497573223,Tesla,2,0.0,customers,,,Tesla,2,44.0,no,0,0.0,44.0,,,,1,22.0,,,1,22.0,,
