identifier,type,id,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,socket:chademo,socket:tesla_destination,socket:tesla_supercharger_ccs,socket:type2,socket:type2_cable,socket:type2_combo
ILH-00023,unassigned_point,node/12996082018,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
ILH-00019,unassigned_point,node/12996082019,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
ILH-00017,unassigned_point,node/12996082020,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VNG-00207,unassigned_point,node/12996105403,2,0.0,yes,yes,24/7,Mobi.E,2,100.0,no,0,0.0,100.0,0,0,0,0,0,2
Continente Bom Dia Oliveira de Frades,unassigned_point,node/12996551390,2,0.0,yes,no,24/7,Continente Plug&Charge,2,44.0,no,0,0.0,44.0,0,0,0,0,2,0
Continente Bom Dia Aljustrel,unassigned_point,node/12996553123,2,0.0,yes,no,24/7,Continente Plug&Charge,2,44.0,no,0,0.0,44.0,0,0,0,0,2,0
PRT-00187,unassigned_point,node/12997096333,1,0.0,yes,no,24/7,Mobi.E,1,7.4,yes,0,0.0,7.4,0,0,0,1,0,0
MAI-00063,unassigned_point,node/12999422930,2,0.0,private,no,24/7,Mobi.E,0,0.0,no,-2,0.0,0.0,0,0,0,0,0,0
BRG-00142,unassigned_point,node/13002603384,2,0.0,yes,yes,24/7,Mobi.E,2,240.0,yes,0,0.0,240.0,0,0,0,0,0,2
GMR-00154,unassigned_point,node/13002603774,2,120.0,yes,no,24/7,Mobi.E,3,262.0,yes,1,22.0,120.0,0,0,0,1,0,2
GMR-00155,unassigned_point,node/13002645570,2,120.0,yes,no,24/7,Mobi.E,3,262.0,no,1,22.0,120.0,0,0,0,1,0,2
VLC-00023,unassigned_point,node/13002645652,2,0.0,yes,yes,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
VFX-00103,unassigned_point,node/13002684530,2,0.0,yes,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
BRR-00005,unassigned_point,node/13002755911,2,0.0,yes,no,10:00-22:00,Mobi.E,2,44.0,no,0,0.0,44.0,0,0,0,2,0,0
AMR-00006,unassigned_point,node/13004335504,2,0.0,yes,yes,24/7,Mobi.E,2,240.0,no,0,0.0,240.0,0,0,0,0,0,2
PRT-00199,unassigned_point,node/13007541682,1,0.0,yes,no,24/7,Mobi.E,1,3.7,no,0,0.0,3.7,0,0,0,1,0,0
