identifier,type,id,operator,capacity,charging_station:output,access,payment:cards,opening_hours,network,total_sockets,total_kw,flag_missing_tag,overflow,overflow_power,adjusted_kw,socket:chademo,socket:chademo:kw,socket:tesla_destination,socket:tesla_destination:kw,socket:type2,socket:type2:kw,socket:type2_cable,socket:type2_cable:kw,socket:type2_combo,socket:type2_combo:kw
BRG-00158,unassigned_point,node/13739759180,Galp Power,2,0.0,customers,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
BRG-00157,unassigned_point,node/13739759181,Galp Power,2,0.0,customers,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
BRG-00156,unassigned_point,node/13739759182,Galp Power,2,0.0,customers,no,24/7,Mobi.E,2,44.0,no,0,0.0,44.0,,,,,2,22.0,,,,
CBR-00156,unassigned_point,node/13739765648,Green Evolut,2,0.0,customers,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,,,2,22.0,,
CBR-00155,unassigned_point,node/13739789012,Green Evolut,2,0.0,customers,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,,,2,22.0,,
SEI-00018,unassigned_point,node/13739803132,Helexia II,2,100.0,yes,yes,24/7,Mobi.E,2,200.0,no,0,0.0,100.0,,,,,,,,,2,100.0
LSB-01324,unassigned_point,node/13739822222,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,2,22.0,,,,
LSB-01323,unassigned_point,node/13739822233,Galp Power,2,0.0,yes,no,24/7,Mobi.E,2,120.0,yes,0,0.0,120.0,,,,,,,,,2,60.0
VCT-00077,unassigned_point,node/13740013920,Repsol,1,0.0,yes,no,24/7,Mobi.E,3,153.0,yes,2,93.0,60.0,1,50.0,,,,,1,43.0,1,60.0
node/13740950588,unassigned_point,node/13740950588,,1,0.0,private,,,,1,11.0,no,0,0.0,11.0,,,,,,,1,11.0,,
node/13740950589,unassigned_point,node/13740950589,,2,0.0,private,,,,3,122.0,no,1,22.0,100.0,1,50.0,,,,,1,22.0,1,50.0
CBR-00154,unassigned_point,node/13742255078,Green Evolut,2,0.0,customers,no,24/7,Mobi.E,2,44.0,yes,0,0.0,44.0,,,,,,,2,22.0,,
LRS-00226,unassigned_point,node/13750839564,EDP,2,0.0,yes,no,24/7,Mobi.E,2,800.0,yes,0,0.0,800.0,,,,,,,,,2,400.0
LRS-00225,unassigned_point,node/13750839565,EDP,2,0.0,yes,no,24/7,Mobi.E,1,400.0,yes,-1,0.0,400.0,,,,,,,,,1,400.0
LSB-01320,unassigned_point,node/13751153693,Galp Power,4,0.0,yes,yes,24/7,Mobi.E,4,1920.0,yes,0,0.0,1920.0,,,,,,,,,4,480.0
